Day,Date,Confirmed
1,03-03-2020,1
2,04-03-2020,15
3,05-03-2020,15
4,06-03-2020,15
5,07-03-2020,15
6,08-03-2020,15
7,09-03-2020,15
8,10-03-2020,15
9,11-03-2020,3
10,12-03-2020,3
11,13-03-2020,3
12,14-03-2020,3
13,15-03-2020,4
14,16-03-2020,4
15,17-03-2020,4
16,18-03-2020,4
17,19-03-2020,7
18,20-03-2020,17
19,21-03-2020,17
20,22-03-2020,24
21,23-03-2020,28
22,24-03-2020,32
23,25-03-2020,36
24,26-03-2020,41
25,27-03-2020,41
26,28-03-2020,54
27,29-03-2020,55
28,30-03-2020,59
29,31-03-2020,74
30,01-04-2020,93
31,02-04-2020,108
32,03-04-2020,167
33,04-04-2020,200
34,05-04-2020,200
35,06-04-2020,274
36,07-04-2020,288
37,08-04-2020,328
38,09-04-2020,383
39,10-04-2020,463
40,11-04-2020,553
41,12-04-2020,700
42,13-04-2020,812
43,14-04-2020,879
44,15-04-2020,1005
45,16-04-2020,1023
46,17-04-2020,1131
47,18-04-2020,1229
48,19-04-2020,1351
49,20-04-2020,1478
50,21-04-2020,1576
51,22-04-2020,1801
52,23-04-2020,1890
53,24-04-2020,1964
54,25-04-2020,2034
55,26-04-2020,2083
56,27-04-2020,2185
57,28-04-2020,2262
58,29-04-2020,2364
59,30-04-2020,2438
60,01-05-2020,2584
61,02-05-2020,2666
62,03-05-2020,2772
63,04-05-2020,2886
64,05-05-2020,3061
65,06-05-2020,3158
66,07-05-2020,3317
67,08-05-2020,3427
68,09-05-2020,3579
69,10-05-2020,3708
70,11-05-2020,3814
71,12-05-2020,3988
72,13-05-2020,4126
73,14-05-2020,4328
74,15-05-2020,4534
75,16-05-2020,4727
76,17-05-2020,4960
77,18-05-2020,5202
78,19-05-2020,5507
79,20-05-2020,5845
80,21-05-2020,6015
81,22-05-2020,6227
82,23-05-2020,6494
83,24-05-2020,6742
84,25-05-2020,7028
85,26-05-2020,7300
86,27-05-2020,7536
87,28-05-2020,7703
88,29-05-2020,8067
89,30-05-2020,8365
90,31-05-2020,8617
91,01-06-2020,8831
92,02-06-2020,8980
93,03-06-2020,9373
94,04-06-2020,9652
95,05-06-2020,9862
96,06-06-2020,10084
97,07-06-2020,10331
98,08-06-2020,10599
99,09-06-2020,10763
100,10-06-2020,11245
101,11-06-2020,11600
102,12-06-2020,11838
103,13-06-2020,12068
104,14-06-2020,12401
105,15-06-2020,12694
106,16-06-2020,12981
107,17-06-2020,13216
108,18-06-2020,13542
109,19-06-2020,13857
110,20-06-2020,14156
111,21-06-2020,14536
112,22-06-2020,14930
113,23-06-2020,15232
114,24-06-2020,15627
